ALERT_ID,TRANSACTION_ID,PARTY_ID,ALERT_TYPE,TRIGGERED_AT,RESOLUTION_STATUS,RESOLVED_BY
cdf9f62c-9e0c-4430-bac7-1d3335776a06,acdeaf85-1873-4555-9ead-4beed0cb70ef,a029c2b0-a9ef-4f9f-bbe3-cd8e479f8f98,High-Value Transaction,2026-04-08 13:22:00.865094,Resolved,EMP3042
d0ceb7a9-94a1-47b0-b615-f0daf2e1f238,9ec1b2ad-e354-4cac-93c7-5a4df56260f8,813c09c9-50e5-453c-a45a-d38dac6c2a8b,Suspicious IP,2026-04-08 13:22:00.540670,Resolved,EMP3017
059e5e82-78cf-473d-b80e-3787ef0d30f2,aec38d48-7826-4b56-b5aa-eae99202dabe,562a3757-c353-4f4c-8e68-60c90c7683c3,Unusual Location,2026-04-08 13:22:00.365828,Open,
fe281294-ec78-4553-ab2c-656eed2389a2,ed8da367-5d80-4751-8368-ec56661c2420,bfda2651-5f9f-487f-b47a-7de6792e5706,Suspicious IP,2026-04-08 13:22:00.652251,Resolved,EMP3024
14776e6e-8d3f-4ad5-ac69-2b16c56f4d44,30954df6-4714-4af9-a34f-2ac20dd3c9be,3e3afe36-e292-45da-94d3-5250744ddfc9,Multiple Failed Logins,2026-04-08 13:22:00.838187,Open,
180ba4f9-3da3-447d-a021-b8bd2f3bfeea,3af3f1e8-208b-416f-b981-cf1908bbd0b5,530120e9-8d24-42f0-af4a-e643456dff5c,High-Value Transaction,2026-04-08 13:22:00.074638,Escalated,EMP3026
9872ed44-825b-4102-9d44-194f7e842159,0c41e63b-9155-471f-9aac-bfb959174c2b,49faa8e4-7a43-4d89-8a9f-6d3304501812,High-Value Transaction,2026-04-08 13:22:00.783862,Resolved,EMP3036
4227b319-f1b7-4804-9a60-f6f32dbd3bf2,e1087527-9b55-4d28-997f-0a1658fa5e8b,d966b016-1a7a-4659-9016-536ea4939d1b,Suspicious IP,2026-04-08 13:22:00.411382,Open,
7759ecab-3a6f-463f-bfab-f1d584878155,99ed132d-fa79-4f91-80e4-6d179a6ec578,f23d2bab-4adf-460f-ac42-399216a9e160,Suspicious IP,2026-04-08 13:22:00.658204,Resolved,EMP3037
38494204-5c29-44ce-a6e2-9b4a96e02231,700a0cd8-c05b-4457-bff0-b08749e2d3cc,77fb48f9-225d-45d3-9f42-33266f653418,Multiple Failed Logins,2026-04-08 13:22:00.819761,Escalated,EMP3050
8ee2aebc-738f-4460-a181-abcb0617ebca,ee1f92c1-bf21-44df-8705-9f56af292a4e,9b8bf8e1-9142-4d3a-812d-bdc959a7c1b0,Suspicious IP,2026-04-08 13:22:00.552829,Open,
0e215956-0bb8-4e80-96ad-f08faee00b3b,5f93b1ef-1ad8-4757-b7f4-2fb4e606c6cc,489204f9-f3ab-4cae-8125-0a43d6090f61,Suspicious IP,2026-04-08 13:22:00.393156,Open,
f647e06c-e923-4299-93bd-de1ccf399af2,8a4e6b98-ee99-488e-85e3-d6e7f00050f6,89f5673a-8832-4456-8caa-a471d8eecbe3,Multiple Failed Logins,2026-04-08 13:22:00.548194,Open,
b006cd29-ddeb-4e2b-b89a-333c4f61f7da,99f6bf50-924c-4415-a3a9-b0238dc95601,18e611e8-b3ed-45c3-b7af-38ce022b3253,High-Value Transaction,2026-04-08 13:22:00.924631,Resolved,EMP3009
7f9c7839-0871-4fc3-90d8-6d4257aabe54,f02d6632-c059-421e-aa1e-e9e883a24efb,aaada5e4-9b7f-4cc1-8c48-6aa26ac985f3,Unusual Location,2026-04-08 13:22:00.640837,Resolved,EMP3022
f60dc749-898c-46a8-86c5-5b61a5280ca1,9c7cbcd9-4bc1-40da-bf6d-8f95463e965f,b102df27-c637-4e97-a4e8-f1d6de7f3263,Unusual Location,2026-04-08 13:22:00.069206,Resolved,EMP3031
7371976b-131d-4ce9-b3ff-10d5a0694131,2e667589-1515-4e57-896f-8ce47d33f2a0,90d27d09-6e83-4970-adce-5b6178a8aad6,Multiple Failed Logins,2026-04-08 13:22:00.267580,Open,
d5926f63-ad32-4cba-996a-233eab1d1041,59e26d38-95ae-4745-b20f-42423bc37c40,d81eb247-7e7e-4549-a011-6bd5c68e4fe5,Suspicious IP,2026-04-08 13:22:00.946668,Open,
05b18445-700d-4434-bd91-6c6380eb52e0,fb230e3c-156f-4bee-a6f9-3025d814236e,ff093ec8-1207-40db-8b2a-54c80a3ffe75,High-Value Transaction,2026-04-08 13:22:00.280983,Open,
69d4a7cb-3a7d-4742-bfc4-8f216fe133a9,a3af59a9-5458-461d-9135-1fccc4e2e288,ebaeffb7-3f54-43e3-b07c-abd0fee722b7,Multiple Failed Logins,2026-04-08 13:22:00.836808,Open,
65f3676f-779d-4a66-9c7b-c961c164be2a,e484a5aa-4528-4fd1-b87c-e94cac2f4784,8a2e697a-51ee-419a-903e-fd35d7dc4dc9,Unusual Location,2026-04-08 13:22:00.795703,Open,
867bf571-4b3d-462b-ac47-024a8e529abd,9d581e3a-d68d-4933-81e6-88e47f173140,3d574c08-71cf-49a2-bb30-647279403f9b,Suspicious IP,2026-04-08 13:22:00.735398,Resolved,EMP3041
0d318d98-4e04-49d3-9dfa-19326a36c7c3,e2893322-65bb-463a-b2bb-65de062444e2,847fa15b-32a7-4d00-a8f0-6acc29eec374,Suspicious IP,2026-04-08 13:22:00.359189,Open,
c4e03d40-47f7-451d-b2e0-4f7a8e09ea8b,53967cf5-2465-4d35-9670-c052a142c6ba,e1899341-65f5-41b3-aeea-4e122b3d603b,Suspicious IP,2026-04-08 13:22:00.545876,Resolved,EMP3049
e042af72-c2b7-4098-90b0-a3819b64c6d4,a4ff86ce-db20-41f8-be64-b8fa837f5f93,5c09511b-5f46-4750-b441-475f56d39e35,Unusual Location,2026-04-08 13:22:00.613240,Open,
20356100-772a-43cc-b6b7-30ed31b27e05,7a469283-c1fa-4024-ba27-a6fae6f9e42a,743daca4-4ef9-453b-ae45-661f15d4358a,Unusual Location,2026-04-08 13:22:00.014323,Resolved,EMP3022
0392e52c-2286-4293-86da-0bcdba9af605,fede6459-b863-43a6-865a-0acbca2eec61,dcbe606c-e1b9-4357-bd6e-80ac81ab59f2,Unusual Location,2026-04-08 13:22:00.351286,Resolved,EMP3005
5ca569eb-8030-4276-afa9-db4bbda65cf1,0680dc23-90ad-40b8-8cf6-7b9f8d752b5a,3d9f473b-e6d1-407a-a26d-7658f07bd75c,Multiple Failed Logins,2026-04-08 13:22:00.388651,Open,
cde10f51-1a33-47c5-bbac-f7024e4902cd,7a2bc4a1-6db9-4722-8c19-c1fe21501f75,46a0dc9e-eee3-4708-b882-49c1a2c72799,Multiple Failed Logins,2026-04-08 13:22:00.448580,Open,
2f5d2493-0c9e-47d6-b77d-71477f469807,7aac1679-5f72-421e-8adb-c9b4f237e4ac,fc841f99-c773-46df-8dde-eadf3214e07e,High-Value Transaction,2026-04-08 13:22:00.014050,Resolved,EMP3008
13e1398f-910f-4f29-88f6-2600f71b5f93,acc1d5cb-1a18-4e06-98d6-8ac3778a53a5,c1afd841-4fbc-4a4b-b60e-eaf11fb3d59c,Suspicious IP,2026-04-08 13:22:00.637867,Resolved,EMP3030
05aa2e0a-b758-49d5-8ce4-1223897c920c,8fd9dc43-a6a5-4259-88d1-c1e544b2fb0e,020cccc1-dc7a-4314-af19-c8ecdd502f7f,Multiple Failed Logins,2026-04-08 13:22:00.431773,Resolved,EMP3037
8beaa1cc-c5a5-43cc-b9ba-549bd34ef3ae,57cbc0b4-fd60-4aa2-a544-7f831479151c,7d8a754c-66cb-4831-8ca7-bf12993d99b4,Unusual Location,2026-04-08 13:22:00.190901,Open,
8259b253-d753-4d12-b9cd-67b62e9528c8,c4e6550f-3a04-4faa-90d1-05de42aa2b4a,aff671eb-a46c-450d-b874-3e0eefa05bba,Suspicious IP,2026-04-08 13:22:00.010024,Open,
46787579-d77b-4ce9-8675-9b3d834f7946,6ee63672-76a2-40b0-a0a0-b452358cf2e1,287aad98-0b8a-42b3-895b-74f6c142c8dc,Suspicious IP,2026-04-08 13:22:00.909883,Resolved,EMP3016
6ba5cb62-bf8f-475c-8bf0-ecc88a1d9e02,7cb6beab-4f71-4100-89b7-7671011921ca,141c88fb-6e15-4b38-898a-ef2f1bd4cbda,Unusual Location,2026-04-08 13:22:00.322853,Open,
c550ecdf-c0e2-4922-9f19-4c8a619a3bfc,be9bf9f5-e650-4a23-bb1f-2db874204a4d,6fd8833d-ef89-4ce2-9fba-31fe6b1d467c,Unusual Location,2026-04-08 13:22:00.412524,Resolved,EMP3033
5bb7d50f-a2b1-4523-b021-4bc141a4bd05,18c95072-e8c2-4462-bac9-5b85acc77fe1,dd230841-9ce1-4125-b3ab-4af40799f46a,Suspicious IP,2026-04-08 13:22:00.667646,Open,
6568b96c-a570-45e6-83b8-012a42533010,eded2d79-b12b-49d1-91c5-f614cb4ad9cf,e1107cee-5f00-4de5-bac3-0a956719f2d0,High-Value Transaction,2026-04-08 13:22:00.216724,Resolved,EMP3012
cbceba63-7b13-4163-ad1b-f22789c63b4d,f3087ba5-c39f-460c-9d6c-7f514c92546d,f5ff066b-770c-4821-9687-210cbe6f4e28,Unusual Location,2026-04-08 13:22:00.051209,Open,
d16290bf-2d29-490c-837b-63f1a41f32c0,bc895b9f-6c0b-4967-9ffe-591b4c578ecf,45917023-3091-4bde-b837-10a5753b1a1f,Unusual Location,2026-04-08 13:22:00.771495,Open,
8f997ab0-0c1a-4703-a250-7e4ec2c55740,0ef718e1-329e-4828-bc04-c28ca5bf3057,340901ad-535c-4dc1-8fb4-a65abfcb92f7,Suspicious IP,2026-04-08 13:22:00.285989,Resolved,EMP3033
bca6d760-e2cd-4a5a-b314-4b436e4fc282,232ffdf2-7d7c-4e34-bacc-6e6d071f1bfb,f3e0f1f1-5092-400d-ab85-09e69b3b489a,High-Value Transaction,2026-04-08 13:22:00.169475,Resolved,EMP3003
69f70ebe-6bcd-4964-ae6d-2c6bcb933da2,bccd347c-e3c4-4c6a-ae5e-c0ab3c370dea,b8096b12-5969-4ea0-b58f-fa6de7a39f3a,Multiple Failed Logins,2026-04-08 13:22:00.761548,Open,
99428ecc-c5d8-49d4-abb7-8be0c03802e4,f8c8486c-f139-47e4-97b1-d85827f5f9a8,85b9fa23-fc30-41c6-9d45-ccadaa306252,Unusual Location,2026-04-08 13:22:00.154641,Resolved,EMP3024
3f014f04-3a7c-4d6d-bf96-9bcd90a3e4b9,5da60ac8-ceaa-409a-a361-d8ff1bdb782c,bea21750-2e14-4cc7-beb3-6b57a9bcb136,Suspicious IP,2026-04-08 13:22:00.217831,Open,
9a6dc423-d309-4f32-bcdb-05fedc5e7a5d,90ebde0b-e420-4ef2-86be-8acf48c143bd,1e6a267a-316f-47ec-8fc8-c302a6db4bf7,Unusual Location,2026-04-08 13:22:00.221921,Resolved,EMP3021
ae62dd14-a68d-44a6-8df4-16d4002df273,44984d1e-db29-43a1-a6c7-ef599ccefa38,2fc1b97f-d9f3-4e28-9624-bfe4f3d3f40d,High-Value Transaction,2026-04-08 13:22:00.863044,Resolved,EMP3046
ed22328a-b0c0-417f-b44a-99f930db1796,54aeebe3-ef97-4917-aa72-f1711ce3ef6b,f02c292c-784e-4487-81ba-a2d50c567c2a,Unusual Location,2026-04-08 13:22:00.916648,Resolved,EMP3002
2e493b93-5da8-4b06-9816-0299c13990db,feb7fae7-2d14-4e87-ab77-1db063fdf0ec,7872eaa4-66a7-423a-958c-fb092afd06a6,Suspicious IP,2026-04-08 13:22:00.411254,Escalated,EMP3018
eba4fecd-9f76-4fb4-8f0a-6a21ac76a8ed,d562c95d-5395-4303-8401-141e6cdf9cbb,bdb4650d-3531-46c3-b9ed-1c6d3a093703,Unusual Location,2026-04-08 13:22:00.455208,Resolved,EMP3003
45c35cd3-da8f-46d0-8015-63518d7f6ddb,0e78f4dc-0061-498c-bbf0-cc21ecac6c86,ee9aa428-a8ed-4321-a23d-7dcf26782a92,Multiple Failed Logins,2026-04-08 13:22:00.986330,Resolved,EMP3050
fdbed60e-ca1b-498b-b31e-8d8f6c19b5e4,2629aea6-ce6c-44dd-9d01-78dad1c072d5,20455f7a-b74f-4d04-985d-190d7c10eb77,Multiple Failed Logins,2026-04-08 13:22:00.490175,Open,
b799b642-c652-4337-b3c9-2eeb7f2c7abc,cd2ace2c-382e-4a76-9091-6899f2a51452,78b1f0a2-5d47-4f9d-a602-a1e670c8e02f,Multiple Failed Logins,2026-04-08 13:22:00.976789,Resolved,EMP3022
c6b58f68-5e5a-4518-b2a7-2f3bfc0cc75b,1e13f0ce-7729-463a-bc9e-85897dba5c5d,1b2fb10b-3f18-40f2-9730-0434cdf2d847,Suspicious IP,2026-04-08 13:22:00.600389,Open,
4996cbe5-ba88-49a9-b77e-9bc1c9e31433,f20cbb25-430c-458a-b24b-63b48e089aa8,4ed90bfd-6050-4aa2-90c1-6056927ebeca,Unusual Location,2026-04-08 13:22:00.088897,Open,
4b30fac8-5d64-4f34-a339-2e7fd78dd5b4,92365979-b383-40d9-8970-f68f35d67fba,e9a943a8-c83c-4005-ab31-6815fd7d9d96,Suspicious IP,2026-04-08 13:22:00.350415,Resolved,EMP3031
2dd5594e-bccd-4746-b6db-99b25012a5b2,905a6858-6a81-4073-8052-ddcd5bb0afb3,f55dda8f-96a7-47ec-924f-6bbb6a0bc945,Suspicious IP,2026-04-08 13:22:00.383802,Open,
fd37f087-b4f9-4082-82b4-7290684c8e3d,5a247908-b880-4066-8773-7000b19d1aca,9594fe1d-c2ae-4c14-9abc-69d76d8545a0,Suspicious IP,2026-04-08 13:22:00.675259,Escalated,EMP3017
a053efe8-c6a2-4653-9a8d-5ebba06f09df,114a21d0-d825-4218-bf80-e8fa118314c7,8d5730c4-379f-4db4-b1fc-7ce57e6a223c,High-Value Transaction,2026-04-08 13:22:00.885807,Escalated,EMP3046
e7757f7c-8af7-45b8-84ae-6dcba8737b61,67f1c75d-8fa7-4d66-b8c5-1479993b8b50,6b541336-b732-4ef0-91a9-89673ea5db19,Suspicious IP,2026-04-08 13:22:00.422477,Escalated,EMP3005
681ed77f-0249-4593-b14b-374096dd52d5,d127052d-b771-4cb9-a659-884b98b3ae34,298be920-ef5c-4729-b201-b9ab63d1b7b7,High-Value Transaction,2026-04-08 13:22:00.654583,Resolved,EMP3004
30dd27df-9307-42c6-a1c3-281efbefcd6a,60697d92-ab0f-4650-93bb-d5ad567eb0d3,5ed0d00b-8bb1-41e9-84b7-c2f397192e61,Multiple Failed Logins,2026-04-08 13:22:00.700046,Resolved,EMP3010
9bd4300a-f994-455f-8f2a-e6fca5451719,7136c9cb-4275-4934-b9d5-04c03ee81ca0,4ea1cfc7-582a-4424-8754-49b350b0e065,High-Value Transaction,2026-04-08 13:22:00.954233,Open,
210ff246-30d8-413c-ad66-4d8a1d4f6f44,0a331680-8dac-4ddb-b72a-f04bf73dcb57,6c774976-298b-4529-84de-98d3cfa0c76e,Unusual Location,2026-04-08 13:22:00.033889,Open,
aa72efc5-37cf-4256-92a9-01537493ddbf,5aa06f63-94fb-40c0-8fad-92ee805eb047,ef23603f-d2c8-40b0-9c1d-8a6d44f7ecbf,High-Value Transaction,2026-04-08 13:22:00.659066,Open,
7b072626-edea-49d0-be80-73f15d7eb954,bba945a7-6ecd-4723-aead-b743b7bb6e7d,9c529026-25c6-4ca8-867f-3ca30807726d,Suspicious IP,2026-04-08 13:22:00.818541,Open,
7ace0d7b-2d9b-480c-a901-1ca87c97464a,093344b4-da58-44a8-b7f3-d60aabee743e,47704a94-693c-4478-87ea-6f47b6239165,Unusual Location,2026-04-08 13:22:00.052955,Resolved,EMP3032
5812d58e-f7cd-4f4b-8a47-f8dbcac952c1,8a9c6986-d48a-4c95-9c71-9855d10fc351,825e2203-d649-4bdc-a500-9438a751c143,Suspicious IP,2026-04-08 13:22:00.279502,Open,
26f16c31-1ff4-4a82-b7cd-b0e5d01fa130,d6e92215-99e4-4443-b019-5fffab18595d,8249f2e9-ba75-4cf3-9b53-360c2b4554da,Unusual Location,2026-04-08 13:22:00.998955,Escalated,EMP3004
46de1d3f-8a9c-43d6-8133-84c7748393c0,9b9047f2-a276-4b27-b4e6-b5e609f5a21a,6e5199e8-638d-4b0a-8502-b04514cedb7a,Unusual Location,2026-04-08 13:22:00.996412,Resolved,EMP3045
1a7e4003-fda3-45ef-bf47-96c5fd34caff,f775374e-3ac2-4f17-b003-6ba067ecaf67,e0321b37-6084-494d-9bff-a120d42d1237,Unusual Location,2026-04-08 13:22:00.786606,Open,
1bec1592-4899-4156-af78-791d98e13634,2ed7ea6a-4d38-429c-82af-a7153461bc46,c61e120a-df1d-456e-978a-f6e72c1a6b3a,Unusual Location,2026-04-08 13:22:00.724677,Resolved,EMP3024
06ec95f5-f2d4-4fd6-bebd-762e93d77da3,8ec9b618-efc5-46fe-b1ca-be1c97aead9a,c6c9b86a-f42c-4903-991b-1a8d96b9a561,Suspicious IP,2026-04-08 13:22:00.349923,Open,
1b9b35e0-2103-46c7-9c1f-b092d5a3eabb,c37ec7a9-4ed0-4d57-8948-869c20b51693,b66987b0-6668-4c5d-b4bd-49bd254558e7,Unusual Location,2026-04-08 13:22:00.739134,Resolved,EMP3009
5bad3374-0396-42b4-8a93-83c7a0baf27e,ef99a4d4-dc63-42df-9c96-30b1d3ca11b0,65c9c5c9-d443-4d1e-a634-30c4dd2f6bd1,Suspicious IP,2026-04-08 13:22:00.401505,Open,
044ac515-d05e-4f1a-89a9-147c134edace,2d5336da-cc05-4cf0-9716-64761c4a21e0,6f2ee55c-43e1-4e0e-b071-75d57c6931e8,Unusual Location,2026-04-08 13:22:00.889609,Open,
e6657b85-660e-4482-8da5-12a08c98b23f,e7378a26-3639-47cd-93bc-d6d9e8342a63,38302d54-f821-41d8-b390-595852802592,Unusual Location,2026-04-08 13:22:00.433474,Escalated,EMP3034
c6d1793a-8a08-422c-8a61-ed08a7b6507c,0bf58398-e1b4-47a2-9836-4288d9f462eb,a5f4afcd-eca1-432a-b75c-89d0608f68e1,Unusual Location,2026-04-08 13:22:00.559061,Open,
05618135-fc35-411f-9731-fdf882eccf6e,8a1813c5-e837-4c0d-a1d5-0b0c9d1fb438,cbe96afc-2cda-4f70-9cda-ab2812d53e3f,Suspicious IP,2026-04-08 13:22:00.345985,Open,
ce1cd519-2d1e-4ebd-82a4-947f4d71f93f,10afa12d-57b4-4f48-ba8c-c3f631ff2d41,46031e72-35de-41b6-b4fc-ac965ecb2932,High-Value Transaction,2026-04-08 13:22:00.435514,Resolved,EMP3047
1b799e43-305b-431d-a4f2-7d7792b399c8,e2e034db-bdd7-4228-84c2-6d3face37fdd,2dbf5d04-15b7-43fe-99e2-1a9953f82354,Suspicious IP,2026-04-08 13:22:00.619226,Open,
c5e4543b-e08f-43a3-8cb2-2a69b208f16b,c11538d6-6137-42d6-b6ab-c2657bd25569,afb6264e-d8a2-44e3-b0f2-9b4fa7069edf,Unusual Location,2026-04-08 13:22:00.192943,Open,
0e1518b1-800d-46e3-9925-981d9d90723d,4b801801-37b2-4703-a5da-e53bed93c8ba,0e98e29a-aefb-4276-9bdd-7bdbd8c51950,High-Value Transaction,2026-04-08 13:22:00.829462,Open,
c56fd6dd-a091-4c16-bd8b-976c25691e85,083bcd33-581c-4844-b2fd-23a190e560fe,b40bde49-7f3e-430c-98b3-d7920c9e8b2b,Suspicious IP,2026-04-08 13:22:00.550795,Resolved,EMP3040
bb9ae835-fd73-4466-abee-79a869daec67,2b3cf630-f011-4fd6-8e9f-86d2fa853a84,d285d632-dccc-4072-b4c0-f0f92e19b535,High-Value Transaction,2026-04-08 13:22:00.983270,Escalated,EMP3012
7f944914-f702-44c1-aee7-5b9ad74bf1cb,65925207-5571-4f62-a406-8e11149ad4d3,b2792711-1910-4dc9-b929-ce7ef21c6e78,Unusual Location,2026-04-08 13:22:00.101642,Open,
0cb684e1-4e93-4880-b9cf-03837688f52d,5ed97eab-42fa-4cc3-ac9c-a365e1cb3bf3,42f2b70b-4922-4d8b-8cec-804c3bf5429e,Unusual Location,2026-04-08 13:22:00.570595,Escalated,EMP3003
5f605af2-7fb6-46c0-8a56-3fd05537fa64,ea63e79d-0e80-498f-a3a0-abd6eadec19b,1e3660b1-6a6a-4056-87b7-78e6d6ccc4e9,Unusual Location,2026-04-08 13:22:00.946317,Resolved,EMP3002
82531789-4d04-474c-9a1d-f54cd8f22653,6fc01c0e-4d04-4251-a4dc-ed90b879b895,4af8180e-6c0e-4284-a052-abbb6a335d3b,Unusual Location,2026-04-08 13:22:00.384073,Resolved,EMP3027
26721b42-bce4-4d95-8533-7a533700f9ac,5976a29a-0481-44e7-a957-450d6d3d5f6b,77d00847-0244-4e8f-b3d8-2b6f890d238a,Unusual Location,2026-04-08 13:22:00.141687,Open,
e02239da-dfcb-4e8b-a5c2-cf41a6cb6306,7a37bebc-1cfb-4b81-a602-601f77137a3d,aaf6c896-74de-484e-9f21-2ab6b9b765d3,Suspicious IP,2026-04-08 13:22:00.590094,Open,
5cd13743-1f37-4764-8f9f-812a07feb9a0,814e8e39-b52b-4b06-80ea-fd989d3af3a8,71f18bcb-8c3e-4010-ba4e-629e68098be2,Suspicious IP,2026-04-08 13:22:00.266835,Resolved,EMP3046
6198a7e2-722e-4a00-b1d5-64eb3455032e,eeabc119-5246-460b-8b74-a560b15aff2d,6f7f772d-5aec-495e-8ef2-5776fe6919c2,High-Value Transaction,2026-04-08 13:22:00.108314,Open,
0b35dd76-db7c-4af3-a6de-148bc040eb84,ecc3d3fa-c66f-4241-96da-64011fc089a3,7ec6b27b-e6b5-40fd-8ac9-8154f6ff64de,Unusual Location,2026-04-08 13:22:00.877801,Open,
f90bfa8a-ebbd-4170-b1fe-61ad7c6b8e0b,2da42863-32f8-4da7-81bb-60cf4a51d7a4,57b9eaf4-0232-471e-8472-2192dc804960,Suspicious IP,2026-04-08 13:22:00.643124,Open,
fa8c7ae6-7271-47dc-8dfb-3e70f6490a6d,80cb8a1b-7337-4d16-baf3-6f4948004120,25efb724-f6f2-4dbe-badf-3ae1941ac87f,Multiple Failed Logins,2026-04-08 13:22:00.267725,Resolved,EMP3028
438f0721-8f1b-424a-b968-61c1046aabac,bb76ab1d-b5f7-430a-b564-ccd5e31d9c2e,a6571352-e283-465d-b7f0-003ac8438a10,High-Value Transaction,2026-04-08 13:22:00.140157,Open,
ef6d9e47-5e8a-42c8-884e-eabbbdda51a9,3d7e16e9-f5b6-4884-b38a-b767351a3357,2979658e-88f2-48a2-a6f0-83277d411996,High-Value Transaction,2026-04-08 13:22:00.656003,Open,
8929ca5d-468c-4076-a91d-421b930ba03c,579cbf32-d090-4c89-8142-95d44982c15a,ad5466e7-6a99-4265-ab17-ad30bc571407,Suspicious IP,2026-04-08 13:22:00.558675,Open,
f531f421-b1c3-4d14-b544-2e537439f11c,1975371b-abda-4de3-98f4-224773dc69ac,a5812b6e-2f5c-4fc5-b2e9-c23fb7467f52,Unusual Location,2026-04-08 13:22:00.572218,Escalated,EMP3019
0dd8f100-1351-462c-8502-4986a18827a3,c74322e7-a409-4bbc-8677-7c8c86286fe9,fff70274-ac65-4f55-85dc-7e17921900b0,Unusual Location,2026-04-08 13:22:00.809013,Open,
e966f511-6edb-43fb-9e82-fbb8f5e5a60a,e07792ac-9c9f-4a22-8792-25a04f66672f,be455a19-d599-4705-beee-ff1df1a0d6f8,Unusual Location,2026-04-08 13:22:00.554359,Resolved,EMP3044
2f0b7db1-bc0d-4c5d-9dcf-b4bdb665f468,7e474b53-e235-4c2c-b06c-dd3a6f1f4d52,4e5ddccf-1536-405f-af40-80a9802e6481,Multiple Failed Logins,2026-04-08 13:22:00.636735,Open,
368608a4-ff30-48eb-9680-997dbf3deb80,d66e3d0d-5f22-463b-ab32-5872a00fd8ff,e8e25018-db85-4503-b1ab-c61ddb600d54,High-Value Transaction,2026-04-08 13:22:00.848320,Resolved,EMP3027
61ebfca0-0a16-4e57-b894-600dbc8955db,972871a3-1d82-4de1-bba6-e12f00f5a475,516cfd38-f312-403c-acc9-275bd6bb30d3,Multiple Failed Logins,2026-04-08 13:22:00.228563,Resolved,EMP3050
b860f0b8-e63a-4eba-9719-3ba1d4cf73cb,80f98556-246f-433d-94c9-33436919ff78,083ed21c-8076-4e25-8911-f7d5652cde07,High-Value Transaction,2026-04-08 13:22:00.037844,Open,
2af65aed-e925-4539-b595-7c1208de642d,3ca877c1-510b-407b-92b4-4269e59732ac,1a240da4-3c7a-4c85-9125-da5b1dcc42aa,Multiple Failed Logins,2026-04-08 13:22:00.728626,Escalated,EMP3048
