LOAN_ID,CUSTOMER_ID,ACCOUNT_ID,LOAN_TYPE,PRINCIPAL_AMOUNT,OUTSTANDING_AMOUNT,INTEREST_RATE,TERM_MONTHS,START_DATE,MATURITY_DATE,STATUS,COLLATERAL_TYPE,CREDIT_SCORE,CREATED_AT,UPDATED_AT
6031020689,2163689034,,PERSONAL,47061.73,33119.64,0.055,52,2023-10-28,2028-02-04,PAID,government,618,2025-11-29 21:55:45,2022-03-18 18:32:22
9202043245,7379120915,,PERSONAL,8742.13,2720.91,0.108,58,2024-02-11,2028-11-16,PAID,give,731,2022-03-27 18:44:26,2024-08-31 15:38:56
8524880783,4727286709,,AUTO,22411.76,11208.74,0.142,7,2024-12-27,2025-07-25,ACTIVE,three,396,2023-10-10 16:15:27,
3831801725,7988380315,1809220759,HOME,12073.03,9478.01,0.053,18,2020-01-30,2021-07-23,ACTIVE,force,572,2024-08-20 13:03:30,
7607790131,1158221753,355250893,SME,26450.72,10396.97,0.013,25,2024-09-06,2026-09-26,ACTIVE,lead,481,2020-08-05 05:09:07,
3020291567,1681362792,7763694233,AUTO,19854.97,18010.75,0.011,11,2021-10-08,2022-09-03,PAID,rest,379,2024-07-14 18:03:47,
9362779062,7605808988,1397286476,HOME,36064.25,7550.52,0.022,57,2022-03-04,2026-11-08,ACTIVE,little,444,2026-03-22 03:01:07,2025-05-27 17:18:04
4845015137,926695533,3255782382,AUTO,9519.38,3604.97,0.148,36,2022-04-06,2025-03-21,DEFAULT,forward,430,2024-01-03 17:29:08,
8128915896,1538844697,7251769081,PERSONAL,34982.74,34280.55,0.099,54,2023-09-06,2028-02-12,PAID,science,774,2020-03-08 17:01:46,2020-06-01 11:32:12
2566709707,9660566117,,PERSONAL,37692.4,15150.82,0.101,54,2025-05-18,2029-10-24,ACTIVE,Republican,750,2020-12-06 03:14:20,
7481987983,5747170567,8353698023,SME,45453.44,36439.72,0.137,11,2025-02-07,2026-01-03,DEFAULT,their,469,2025-02-14 07:11:05,2021-08-15 05:30:25
1342596853,8100098443,8165096045,AUTO,4399.09,2276.51,0.025,55,2022-11-25,2027-06-02,ACTIVE,policy,309,2022-02-17 12:19:28,
975582685,8400730329,6973964018,AUTO,19785.71,3625.05,0.138,11,2025-10-16,2026-09-11,PAID,eight,657,2025-11-25 13:05:14,
4585276266,5653602754,,AUTO,28074.05,1625.5,0.084,28,2022-01-15,2024-05-04,ACTIVE,different,543,2020-12-24 04:49:00,
2914034019,1132305806,,HOME,49946.11,13948.96,0.137,16,2025-09-15,2027-01-08,ACTIVE,number,703,2022-02-06 13:31:16,
3942936653,8965259139,5442725695,PERSONAL,30241.66,3368.32,0.022,29,2025-08-29,2028-01-16,DEFAULT,benefit,777,2021-10-23 06:41:52,2021-09-10 01:55:33
942410414,9335551650,,AUTO,12818.39,5818.08,0.012,13,2021-06-26,2022-07-21,DEFAULT,forward,838,2023-11-25 08:28:03,
7296754923,2712772546,,HOME,6083.03,5594.78,0.122,60,2022-01-09,2026-12-14,PAID,left,509,2023-08-22 18:05:39,2024-11-01 16:34:59
9884484522,1045043036,5399003904,HOME,24930.38,4962.21,0.137,20,2021-01-23,2022-09-15,PAID,answer,838,2024-12-08 11:56:28,2023-04-11 08:51:56
7250676052,464994549,359435085,PERSONAL,41554.28,28090.28,0.127,42,2020-05-12,2023-10-24,PAID,it,467,2022-10-08 07:02:43,
7477683107,1060182204,,SME,39098.73,5509.85,0.01,17,2022-06-05,2023-10-28,PAID,partner,617,2020-03-31 00:26:17,2024-03-14 11:49:27
23562846,8813351682,,AUTO,20508.85,789.44,0.015,6,2024-03-09,2024-09-05,DEFAULT,commercial,628,2026-03-19 05:19:45,
1313969741,1969286124,14597017,HOME,30624.04,14817.95,0.039,49,2025-11-27,2029-12-06,ACTIVE,fall,590,2021-12-14 00:41:10,
3026911396,2837971176,,HOME,8386.82,5752.61,0.049,15,2023-06-04,2024-08-27,PAID,rock,558,2023-09-06 14:09:27,
4693447610,6288473407,,PERSONAL,8070.96,5841.33,0.018,60,2024-05-28,2029-05-02,DEFAULT,form,664,2024-09-12 16:15:46,
1478066096,7545186770,5427530725,HOME,38593.55,19539.88,0.136,47,2021-11-10,2025-09-20,DEFAULT,rich,505,2020-05-08 08:55:35,2020-11-29 02:28:49
7854566607,2743927593,5571562315,AUTO,45989.83,11909.76,0.15,10,2025-05-22,2026-03-18,ACTIVE,realize,559,2020-05-20 17:20:12,2021-08-11 16:44:21
2106829476,4457509269,2149662456,SME,37425.79,30075.75,0.12,57,2020-08-10,2025-04-16,ACTIVE,that,547,2023-12-12 13:42:00,
1452428898,9578249500,,SME,39698.04,19860.52,0.07,40,2022-08-11,2025-11-23,ACTIVE,level,600,2023-03-08 09:52:02,2021-09-17 04:02:57
3897880149,7137980807,,HOME,22508.65,532.04,0.09,55,2022-01-14,2026-07-22,DEFAULT,baby,846,2026-03-01 15:27:30,2022-08-10 15:49:24
6484053066,2518790401,2411275979,PERSONAL,6087.97,523.26,0.041,54,2020-08-06,2025-01-12,ACTIVE,put,310,2024-10-12 19:57:37,
8033427256,8501122384,4784292301,PERSONAL,2954.54,953.87,0.087,47,2025-08-18,2029-06-28,PAID,enough,735,2020-10-31 01:54:12,2021-01-22 23:00:49
1323300207,4906167672,,PERSONAL,29249.4,27438.29,0.041,25,2024-07-27,2026-08-16,DEFAULT,information,635,2022-07-06 02:09:05,2020-09-20 07:35:17
5766315052,491826537,4081778064,HOME,28980.07,4438.89,0.013,44,2024-01-28,2027-09-09,ACTIVE,other,614,2021-05-04 22:00:43,
3938797743,9467191584,9632468316,SME,42754.99,32671.58,0.111,22,2021-08-14,2023-06-05,DEFAULT,pass,845,2020-07-23 06:31:52,
1591364025,8726411270,,SME,17940.73,7619.72,0.102,7,2020-01-27,2020-08-24,DEFAULT,environmental,586,2024-07-30 00:10:34,2020-07-17 17:34:47
7678016371,8393861091,5589162324,AUTO,28357.82,24436.35,0.095,60,2021-04-13,2026-03-18,DEFAULT,their,759,2024-07-25 02:28:30,
3574005298,8095563304,8866487824,PERSONAL,38903.03,4469.01,0.141,7,2021-09-04,2022-04-02,ACTIVE,order,637,2022-04-24 01:46:50,
3906455074,6435424488,2233291948,SME,49752.96,11821.77,0.058,35,2025-12-13,2028-10-28,DEFAULT,accept,678,2023-12-26 02:23:34,2025-04-10 01:47:19
2491952242,4598074559,,HOME,22124.19,15287.09,0.139,27,2022-05-29,2024-08-16,PAID,shoulder,378,2023-11-03 21:08:37,2024-11-21 06:16:58
8249808377,1239523593,2616478562,AUTO,49596.8,32853.88,0.1,45,2024-12-11,2028-08-22,DEFAULT,easy,580,2022-01-29 07:07:28,2024-08-31 03:57:52
1132392168,7738644660,,SME,6248.14,2936.36,0.136,60,2024-07-11,2029-06-15,ACTIVE,see,613,2022-08-22 07:32:31,
8210933987,4529695568,1969228570,SME,44569.25,30844.76,0.093,30,2024-12-24,2027-06-12,DEFAULT,take,545,2025-10-30 17:47:04,2020-09-27 09:28:29
4484498022,9782275017,,AUTO,48738.95,11011.81,0.116,42,2023-07-19,2026-12-30,DEFAULT,reflect,315,2025-12-23 06:00:27,
8680091684,7053018557,,AUTO,1795.17,1009.54,0.117,15,2023-07-24,2024-10-16,DEFAULT,letter,710,2023-03-06 13:00:59,2024-11-30 08:16:07
8695883318,7027390159,,HOME,40192.95,26918.51,0.112,14,2025-08-15,2026-10-09,ACTIVE,throughout,395,2023-11-17 05:42:11,2020-03-24 04:45:38
3543163430,6177390097,,HOME,31772.13,24624.18,0.034,14,2021-09-27,2022-11-21,ACTIVE,describe,520,2025-11-21 17:32:36,
800272727,5766380826,2529339917,SME,33553.76,3267.04,0.055,31,2020-07-28,2023-02-13,ACTIVE,walk,784,2021-03-10 14:52:50,
4199498042,1786873199,9052236685,AUTO,42369.75,13127.14,0.071,58,2025-08-29,2030-06-04,DEFAULT,middle,304,2024-01-01 08:17:36,2020-12-25 00:14:48
1091228343,8612190298,,PERSONAL,9447.4,1696.57,0.072,7,2023-11-15,2024-06-12,PAID,above,681,2020-02-26 12:54:56,
4400042203,4219334383,,HOME,12781.86,9012.54,0.074,21,2020-01-20,2021-10-11,DEFAULT,great,412,2020-12-19 21:17:56,
1719619100,7538574463,,SME,36998.65,16966.04,0.03,14,2020-05-13,2021-07-07,ACTIVE,TV,843,2022-04-21 07:11:21,
3034242221,8061601195,,PERSONAL,24429.45,5682.48,0.11,15,2021-01-09,2022-04-04,ACTIVE,receive,640,2021-10-18 18:58:50,2021-02-19 17:19:18
7118917249,628229567,,HOME,32290.47,16606.0,0.029,59,2020-12-05,2025-10-10,PAID,face,322,2023-07-02 08:39:17,2024-11-04 14:46:59
9195582154,1092310814,,PERSONAL,11052.8,2540.44,0.099,50,2020-10-19,2024-11-27,ACTIVE,approach,639,2023-10-02 00:24:35,2025-03-27 15:58:16
2042752612,3173657505,4154387767,HOME,21135.62,830.89,0.121,55,2021-03-31,2025-10-06,ACTIVE,our,528,2021-12-14 02:33:18,2025-04-09 12:36:42
9759890466,6480051403,,PERSONAL,11488.52,9761.44,0.113,48,2022-11-13,2026-10-23,ACTIVE,industry,755,2020-06-12 06:23:23,2025-12-10 14:59:21
7305092313,5902269293,7366713863,HOME,11640.8,2792.94,0.097,40,2020-01-29,2023-05-13,DEFAULT,off,700,2025-11-17 06:26:38,
8740638878,9030113515,4916363328,PERSONAL,16196.12,4863.17,0.052,41,2025-04-11,2028-08-23,PAID,represent,713,2020-08-27 05:58:58,
2786978048,2086991648,,SME,9636.4,7666.06,0.018,23,2020-08-31,2022-07-22,DEFAULT,within,533,2020-12-07 06:09:30,2024-07-04 05:03:55
2766960021,6654775455,8280936157,HOME,36755.14,10753.46,0.105,23,2020-03-20,2022-02-08,PAID,why,341,2025-11-10 12:18:49,2021-07-11 04:20:47
5740871131,9600499471,2932131160,SME,20073.05,4369.29,0.038,14,2020-03-02,2021-04-26,ACTIVE,movie,743,2021-11-15 02:16:12,
6026314243,8509174101,,SME,36882.04,13852.47,0.091,22,2023-02-19,2024-12-10,ACTIVE,even,620,2020-08-26 23:48:10,2022-12-28 03:43:20
6106364757,7753586913,,AUTO,42682.36,30000.64,0.05,41,2024-12-25,2028-05-08,DEFAULT,smile,601,2021-03-09 02:39:42,
8319355423,498700534,9207579541,PERSONAL,6629.04,6122.19,0.067,45,2021-11-21,2025-08-02,PAID,federal,575,2025-05-13 10:27:48,
3610931883,6267923636,7042999767,AUTO,34718.93,17948.57,0.108,60,2024-04-02,2029-03-07,ACTIVE,artist,821,2023-11-12 11:35:45,2025-08-01 02:52:57
2467590830,8223459698,,AUTO,34980.11,24649.48,0.076,60,2022-12-27,2027-12-01,PAID,heart,737,2025-02-16 22:40:31,2025-03-11 17:17:19
2291432482,7686969325,,HOME,3942.96,3932.1,0.128,43,2020-07-16,2024-01-27,DEFAULT,itself,428,2025-10-22 08:06:43,2022-04-03 22:53:14
1044952875,8180126472,2571407748,HOME,38228.76,29307.87,0.081,39,2025-03-16,2028-05-29,DEFAULT,process,753,2020-12-28 02:16:40,2025-03-21 12:58:26
9872489339,9695472283,935327084,PERSONAL,7839.61,5226.4,0.146,23,2024-04-03,2026-02-22,DEFAULT,charge,843,2021-05-05 16:15:41,
2092863124,5062222677,2866935321,AUTO,23776.24,15523.87,0.136,40,2021-08-08,2024-11-20,DEFAULT,task,340,2025-03-08 16:41:06,
9511900321,8216770768,264781393,PERSONAL,37352.59,32282.22,0.128,37,2024-04-22,2027-05-07,ACTIVE,feel,502,2024-09-29 13:28:37,2022-01-09 18:32:55
8559400367,7204430224,,PERSONAL,49768.41,45849.93,0.026,14,2022-05-12,2023-07-06,DEFAULT,center,486,2025-06-08 05:03:44,2021-02-01 16:54:14
2754887468,5332025789,,AUTO,24660.06,4246.79,0.01,25,2022-04-27,2024-05-16,ACTIVE,value,563,2023-11-07 05:48:34,2025-06-27 20:40:18
5754570455,6340257164,,SME,37497.19,11256.8,0.099,13,2023-08-04,2024-08-28,ACTIVE,eat,540,2024-01-14 02:40:22,2021-11-19 19:53:02
9154577922,4974501611,,AUTO,42664.83,25104.33,0.022,47,2025-08-02,2029-06-12,ACTIVE,story,519,2021-11-04 01:09:10,
6908712632,6863667737,,AUTO,33493.37,23936.86,0.089,47,2020-05-29,2024-04-08,PAID,candidate,752,2022-10-15 02:00:36,2022-02-21 18:15:06
290765588,7124594109,,SME,34272.02,25261.32,0.06,19,2024-11-10,2026-06-03,ACTIVE,yes,377,2023-04-02 18:56:11,2026-03-03 20:47:04
5764120231,6739341807,5000598823,PERSONAL,29762.35,26607.39,0.113,38,2023-10-09,2026-11-22,DEFAULT,hold,609,2022-07-06 22:05:59,2021-03-25 23:39:54
8082027680,7898247666,,PERSONAL,18633.21,554.54,0.027,32,2025-10-06,2028-05-23,DEFAULT,policy,459,2021-10-04 02:48:41,
7799124766,1977795093,112160207,AUTO,6693.87,178.21,0.134,10,2024-06-06,2025-04-02,ACTIVE,address,426,2023-05-12 03:15:47,
6904776655,4653629593,,PERSONAL,45473.4,5364.35,0.086,11,2022-10-16,2023-09-11,PAID,west,829,2022-07-06 07:58:06,
6684438372,8411226890,169766566,PERSONAL,39550.03,4234.89,0.115,27,2023-02-07,2025-04-27,ACTIVE,own,566,2021-11-21 01:01:08,2023-03-24 00:27:07
1385241087,6852443771,,SME,44876.25,27581.54,0.088,48,2024-04-22,2028-04-01,ACTIVE,trip,471,2023-04-07 00:09:36,2023-09-15 18:17:15
2823279483,5269934942,,SME,22879.06,11444.17,0.074,53,2021-08-27,2026-01-03,PAID,on,505,2024-03-10 10:57:50,
1509810663,1268414468,,SME,10687.39,7217.34,0.136,56,2021-12-28,2026-08-04,DEFAULT,energy,694,2020-02-03 16:32:23,
479074636,8526006196,3486526424,SME,37193.44,9080.44,0.032,36,2023-09-07,2026-08-22,DEFAULT,gun,657,2025-08-16 00:42:27,
1481524919,9048239771,2816946213,AUTO,37267.68,3515.03,0.092,44,2025-11-01,2029-06-13,PAID,memory,654,2022-09-18 14:55:04,
9476539273,2267756247,4871428498,HOME,15213.33,5290.77,0.116,42,2022-07-06,2025-12-17,PAID,major,321,2026-04-01 12:17:23,
7144524572,6829684226,6558886936,PERSONAL,25396.58,19032.01,0.087,10,2025-11-13,2026-09-09,ACTIVE,election,591,2025-03-19 17:18:22,
7947614897,1643334112,9614323642,AUTO,18229.1,8010.79,0.07,54,2021-01-30,2025-07-08,ACTIVE,traditional,461,2023-10-29 09:29:33,
1212063562,464994549,2605955387,PERSONAL,7257.81,3096.64,0.093,18,2021-08-17,2023-02-08,PAID,wonder,382,2026-03-14 07:59:35,2023-10-06 23:33:16
5055180478,3283677051,707574120,SME,11686.72,9234.26,0.119,42,2024-05-01,2027-10-13,ACTIVE,throughout,673,2026-01-20 00:38:38,2021-11-13 09:19:05
3767717895,1264621151,,AUTO,25392.69,16636.27,0.14,18,2022-09-07,2024-02-29,PAID,smile,722,2020-05-20 16:18:28,2023-10-09 05:14:06
133443987,4686181286,8345144383,AUTO,42516.93,17629.06,0.035,14,2024-09-08,2025-11-02,DEFAULT,toward,821,2025-12-10 09:27:48,
3360879716,7898692313,,AUTO,38158.55,1333.33,0.043,40,2025-02-22,2028-06-06,DEFAULT,public,310,2024-06-30 10:56:10,2020-10-17 06:43:10
9836739432,5035134754,8043251887,HOME,8120.82,867.69,0.121,22,2022-09-18,2024-07-09,PAID,foot,495,2021-03-24 08:59:18,
6019040550,3926252194,,HOME,48135.29,22531.97,0.03,56,2024-03-12,2028-10-17,PAID,rise,364,2022-08-19 02:47:05,
3786052207,2300737711,,SME,45724.85,32051.35,0.134,39,2021-06-02,2024-08-15,PAID,quality,608,2021-08-08 15:11:56,2020-10-31 10:04:58
6611568619,1061906689,,PERSONAL,18086.86,3593.09,0.088,55,2023-12-01,2028-06-07,DEFAULT,us,321,2025-04-28 09:56:13,2023-04-24 05:41:01
7274447752,2057218369,8825866434,PERSONAL,8015.6,1144.36,0.066,23,2022-09-19,2024-08-09,ACTIVE,brother,718,2026-01-20 17:48:22,
391179958,6409111370,,AUTO,38703.5,34952.42,0.016,11,2024-09-15,2025-08-11,DEFAULT,bad,469,2025-03-16 23:48:11,
713494843,8364438657,,SME,26440.97,22053.62,0.048,60,2024-09-02,2029-08-07,ACTIVE,including,747,2026-03-26 20:09:16,2025-03-28 16:18:34
6062541566,4677010448,,AUTO,18733.84,4812.78,0.038,12,2020-03-20,2021-03-15,ACTIVE,fall,761,2020-03-13 21:01:48,
5600982247,8437173454,7072979135,HOME,43262.15,35399.54,0.125,29,2020-08-27,2023-01-14,PAID,toward,666,2025-11-27 05:22:14,
550035992,8357101477,7202223967,PERSONAL,27968.23,5506.59,0.144,51,2024-01-28,2028-04-06,ACTIVE,later,700,2021-06-03 15:29:09,
8337273046,1796131984,,SME,20121.07,10451.39,0.018,47,2023-02-10,2026-12-21,DEFAULT,station,752,2022-06-28 00:25:26,
7085056365,4150468714,9084998275,AUTO,19499.48,12835.37,0.042,10,2020-06-09,2021-04-05,ACTIVE,senior,389,2021-06-08 01:34:02,
1783661330,991184500,,HOME,34825.63,33542.69,0.147,54,2024-04-29,2028-10-05,ACTIVE,these,405,2023-03-05 04:01:28,2020-08-24 18:29:38
3129926468,3218294919,8072801770,SME,16534.52,9102.11,0.131,58,2020-06-28,2025-04-03,ACTIVE,people,746,2021-09-20 21:57:13,
3077694843,2027752471,258245148,SME,48851.16,584.63,0.14,31,2023-08-17,2026-03-04,PAID,speak,423,2024-11-21 22:30:55,2024-02-26 15:49:15
2816845099,8674780200,,HOME,39288.8,30347.78,0.132,48,2020-09-17,2024-08-27,ACTIVE,management,514,2023-05-02 03:31:45,
93269925,8491773996,5207474543,SME,7535.5,442.98,0.105,24,2022-02-01,2024-01-22,PAID,white,679,2021-09-27 07:47:27,
6177652518,3617386070,,PERSONAL,10934.73,9935.19,0.046,36,2023-02-11,2026-01-26,PAID,year,592,2025-04-15 13:23:26,2020-06-21 10:22:21
406052186,6780783339,,PERSONAL,5900.7,4600.97,0.118,46,2021-05-12,2025-02-20,PAID,difference,465,2026-01-06 02:50:41,
2729052611,506587006,2452850423,AUTO,28959.75,26126.83,0.063,31,2022-09-17,2025-04-04,DEFAULT,story,495,2025-02-08 09:05:19,
4882351716,588639196,,PERSONAL,20945.75,18350.56,0.063,53,2021-07-22,2025-11-28,ACTIVE,good,453,2022-11-16 10:40:00,2022-02-15 07:55:25
1948047215,1169327378,,HOME,6786.18,4496.04,0.147,53,2021-02-03,2025-06-12,ACTIVE,challenge,713,2025-05-05 04:12:59,
1496981269,102706228,,SME,20933.02,14195.83,0.058,20,2023-08-24,2025-04-15,PAID,have,380,2024-10-27 19:01:44,
1829442341,924285025,5102218548,PERSONAL,41040.8,39635.65,0.052,32,2023-10-03,2026-05-20,PAID,style,704,2022-07-20 01:22:45,2021-12-12 18:18:25
3810369287,6423488225,1699429699,PERSONAL,38207.54,4207.55,0.048,28,2022-09-20,2025-01-07,PAID,citizen,301,2022-01-02 06:06:56,
583694143,7603723993,,AUTO,12765.91,12486.22,0.145,40,2020-10-26,2024-02-08,ACTIVE,close,477,2022-02-23 05:33:51,2022-03-01 11:05:56
2734262692,3212669468,,SME,41074.89,6496.61,0.011,16,2023-09-19,2025-01-11,ACTIVE,why,843,2021-08-07 06:59:08,
5493192818,1138918115,3537357100,HOME,15814.8,3821.31,0.047,14,2022-11-21,2024-01-15,ACTIVE,require,375,2024-07-02 10:37:18,2022-06-17 06:21:18
1268150963,8708495301,,HOME,40634.44,22176.07,0.107,12,2020-11-17,2021-11-12,ACTIVE,energy,309,2021-12-13 04:01:59,2025-04-08 04:17:00
605636577,8053712798,,PERSONAL,38101.03,32924.43,0.027,60,2023-05-31,2028-05-04,ACTIVE,key,318,2022-03-18 22:27:26,2024-03-13 01:15:01
6370964130,2232607729,7120568818,PERSONAL,7835.22,2869.66,0.071,57,2023-02-14,2027-10-21,PAID,throw,650,2022-02-24 20:06:01,
1803737587,6474640142,,SME,8088.54,1130.49,0.084,26,2020-06-26,2022-08-15,ACTIVE,stop,621,2024-04-21 16:28:06,2021-05-28 08:58:20
8816451588,7576385177,3198477861,HOME,46149.82,8809.01,0.139,18,2023-05-04,2024-10-25,ACTIVE,smile,557,2024-06-01 01:12:35,
5804948074,1883617769,4330333039,HOME,5216.19,1549.77,0.019,55,2025-09-20,2030-03-28,DEFAULT,investment,768,2021-08-28 01:25:42,2020-09-25 08:33:25
6158929708,4488858994,,AUTO,19446.67,14061.49,0.051,9,2025-02-26,2025-11-23,DEFAULT,never,463,2022-12-31 09:35:12,
6300748385,7903628603,,AUTO,25442.3,12036.46,0.011,21,2025-10-17,2027-07-09,PAID,organization,663,2022-08-16 16:36:07,
9989033911,2176333893,8879578097,AUTO,10094.68,9848.77,0.129,43,2024-12-18,2028-06-30,PAID,report,590,2020-02-17 08:59:55,2020-09-21 09:01:55
6883214112,4880893318,,SME,31378.1,25411.38,0.149,45,2024-04-25,2028-01-05,DEFAULT,remain,523,2026-01-28 22:29:06,2022-01-16 12:37:07
4716394035,8359198101,9824536182,SME,5610.29,296.2,0.039,29,2023-09-08,2026-01-25,DEFAULT,activity,397,2022-12-27 09:47:12,
7723186446,3101553766,,AUTO,16560.89,13067.59,0.115,12,2022-03-03,2023-02-26,PAID,still,785,2025-11-14 17:07:27,
9816640756,5412703747,3276210793,HOME,7266.42,4218.64,0.079,26,2025-12-21,2028-02-09,PAID,coach,335,2024-04-03 00:08:25,2020-10-20 03:06:23
4301674573,1768268107,,HOME,45084.98,19090.44,0.072,22,2021-09-12,2023-07-04,ACTIVE,avoid,734,2024-05-04 11:20:41,
8125480812,7621279361,938683625,AUTO,28188.01,1611.85,0.139,39,2020-09-12,2023-11-26,ACTIVE,offer,444,2023-09-17 16:49:40,2026-01-27 19:10:32
3527191302,7890584529,,PERSONAL,10061.43,1016.59,0.011,48,2022-11-03,2026-10-13,ACTIVE,his,818,2021-12-08 22:57:38,2023-06-01 10:06:06
2553841377,988042917,,AUTO,8979.1,3179.14,0.084,53,2022-12-01,2027-04-09,PAID,professional,468,2025-12-03 02:25:22,
6222693787,3474941650,,HOME,30617.06,3037.92,0.074,50,2024-01-02,2028-02-10,ACTIVE,plant,392,2023-02-22 21:02:02,2022-04-05 07:28:36
2962191598,1368336604,9038149894,SME,48120.73,37583.86,0.041,39,2021-10-26,2025-01-08,PAID,nearly,304,2020-06-07 18:27:34,2024-02-06 12:47:25
3224751984,5120777458,,HOME,25867.13,14266.13,0.07,33,2021-03-28,2023-12-13,PAID,tree,721,2022-11-16 23:00:40,2021-02-28 14:59:11
2847858363,326236367,6093058070,AUTO,13890.0,10512.58,0.092,28,2022-11-04,2025-02-21,DEFAULT,clearly,426,2020-11-07 16:26:51,
1141985199,8789261431,8864329975,SME,39498.04,19538.18,0.026,11,2020-12-06,2021-11-01,DEFAULT,specific,412,2020-05-02 05:51:20,2023-03-07 15:31:11
2334763553,8088246029,7796385215,SME,22468.94,4762.7,0.01,43,2024-08-19,2028-03-01,ACTIVE,recognize,640,2025-06-17 04:10:40,
1863828684,2331083700,3496270292,PERSONAL,48887.19,23699.45,0.128,46,2022-06-10,2026-03-21,PAID,trip,762,2023-11-25 20:52:44,
6131809298,7488966832,,PERSONAL,45859.77,11172.77,0.127,37,2025-12-24,2029-01-07,DEFAULT,ready,577,2023-03-19 05:35:05,2023-01-22 07:22:00
5456456811,7365043886,,PERSONAL,21631.24,4831.01,0.12,56,2023-04-18,2027-11-23,PAID,sure,341,2020-09-21 21:04:00,
1447437530,2020224463,7583311664,HOME,17821.03,9460.54,0.061,23,2023-11-20,2025-10-10,DEFAULT,need,624,2021-07-14 03:11:33,
2629947571,84286517,,PERSONAL,44048.28,41540.78,0.149,44,2024-06-15,2028-01-26,PAID,little,590,2021-01-30 03:19:58,
4829077155,4741428423,,AUTO,30821.12,25755.76,0.065,20,2024-03-12,2025-11-02,ACTIVE,lose,401,2020-06-28 16:27:24,
8718949570,1719955705,6879701312,PERSONAL,22986.3,14718.37,0.093,17,2023-10-18,2025-03-11,ACTIVE,control,757,2023-03-24 21:11:42,2021-09-07 04:02:24
2212350877,7120467829,1077577396,AUTO,30239.22,22460.86,0.125,47,2024-07-03,2028-05-13,DEFAULT,animal,362,2025-09-14 15:17:15,2026-02-18 07:46:31
1329629053,7599380396,,PERSONAL,41144.07,35672.64,0.12,42,2024-07-04,2027-12-16,PAID,left,850,2025-06-01 00:27:24,2022-06-20 20:16:24
3933025738,5785872335,8887308663,PERSONAL,2613.1,1723.81,0.117,7,2023-05-16,2023-12-12,PAID,always,653,2023-01-07 01:40:27,
5470188142,6191192339,8325999193,HOME,14715.87,9772.83,0.084,23,2020-05-07,2022-03-28,PAID,program,477,2023-02-27 20:16:48,2025-06-17 06:31:33
3091307606,1056947461,3171918047,HOME,45850.83,19793.96,0.148,24,2020-04-09,2022-03-30,PAID,end,422,2021-12-03 06:15:56,2025-11-22 13:31:19
8967571300,5732806213,,HOME,14327.79,7758.04,0.105,25,2024-02-05,2026-02-24,DEFAULT,may,726,2024-06-30 02:56:23,
268919531,7716817703,,AUTO,31105.41,10470.53,0.045,55,2021-11-06,2026-05-14,ACTIVE,than,372,2024-01-12 07:19:23,
7175140954,2466564767,5305249171,HOME,40199.72,27298.52,0.061,7,2023-07-01,2024-01-27,ACTIVE,usually,673,2024-01-31 19:58:52,2024-04-16 00:06:30
